samp_ev,exp,grp_esd,mn_ct_ml
SJR2,T24,unidentified round 24.50,0.13086212740148773
SJR2,T24,unidentified round 5.50,2.1240138138634803
SJR2,T24,unidentified round 80.00,0.04371584699453552
SJR2,T24,unidentified round 9.50,0.3488700510477866
WLD2,FC,chlorophyte colonial 10.00,0.088008800880088
WLD2,FC,chlorophyte colonial 12.00,0.09218289085545722
WLD2,FC,chlorophyte scenedesmus 4.58,0.13827433628318583
WLD2,FC,chlorophyte scenedesmus 5.04,0.22002200220022
WLD2,FC,ciliate cone 19.05,5.2422905582476425
WLD2,FC,ciliate cone 22.58,0.32264011799410025
WLD2,FC,ciliate cone 26.42,0.08830022075055187
WLD2,FC,ciliate oblong 10.86,0.264026402640264
WLD2,FC,ciliate oblong 16.64,0.11015671103534194
WLD2,FC,ciliate oblong 20.16,0.18436578171091444
WLD2,FC,ciliate oblong 23.08,0.17660044150110374
WLD2,FC,ciliate oblong 48.66,0.04609144542772861
WLD2,FC,ciliate other 34.47,0.044004400440044
WLD2,FC,ciliate other odd shape 51.83,0.04609144542772861
WLD2,FC,ciliate round 14.00,1.0778988900277044
WLD2,FC,ciliate round 24.00,0.5667513654020269
