samp_ev,exp,grp_typ,category,sa,la,wi,tot_ct,bmn_pgml,mn_ct
SJR1,FC,diatom pennate,diatom pennate 2 20,2,20,2,39,2,13.0
SJR1,FC,diatom pennate,diatom pennate 4 12,4,12,4,21,9,7.0
SJR1,FC,diatom pennate,diatom pennate 8 32,8,32,8,1,5,0.3
SJR1,FC,diatom pennate,diatom pennate 8 56,8,56,,2,7,0.7
SJR1,FC,diatom pennate,diatom pennate 8 64,8,64,8,1,7,0.3
SJR1,FC,flagellate other,flagellate other 3.67 5.5,3.67,5.5,,446,34,148.7
SJR1,FC,flagellate other,flagellate other 6.33 9.5,6.33,9.5,,80,34,26.7
SJR1,FC,flagellate other,flagellate other 9 14,9,14,,61,68,20.3
SJR1,FC,ochrophyte synura,ochrophyte synura 16 16,16,16,,2,13,0.7
SJR1,FC,unidentified flagchloro,unidentified flagchloro 4 26,4,26,,39,75,13.0
SJR1,FC,unidentified NA,unidentified NA 16 80,16,80,,1,57,0.3
SJR1,FC,unidentified rotifer,unidentified rotifer 56 80,56,80,,1,836,0.3
SJR1,FC,unidentified round,unidentified round 14 14,14,14,,15,62,5.0
SJR1,FC,unidentified round,unidentified round 24.5 24.5,24.5,24.5,,39,508,13.0
SJR1,FC,unidentified round,unidentified round 48 48,48,48,,3,1087,1.0
SJR1,FC,unidentified round,unidentified round 5.5 5.5,5.5,5.5,,423,74,141.0
SJR1,FC,unidentified round,unidentified round 64 64,64,64,,1,628,0.3
SJR1,FC,unidentified round,unidentified round 9.5 9.5,9.5,9.5,,78,72,26.0
SJR1,IC,chlorophyte other,chlorophyte other 10 10,10,10,,6,18,2.0
SJR1,IC,chlorophyte scenedesmus,chlorophyte scenedesmus 4 4,4,4,,3,1,1.0
SJR1,IC,chlorophyte scenedesmus,chlorophyte scenedesmus 4 8,4,8,,7,3,2.3
SJR1,IC,ciliate cone,ciliate cone 24 24,24,24,,261,2479,87.0
SJR1,IC,ciliate cone,ciliate cone 32 36,32,36,,3,222,1.0
SJR1,IC,ciliate other odd shape,ciliate other odd shape 32 136,32,136,,1,616,0.3
SJR1,IC,ciliate round,ciliate round 14 14,14,14,,75,290,25.0
SJR1,IC,ciliate round,ciliate round 24 24,24,24,,13,400,4.3
SJR1,IC,ciliate round,ciliate round 48 48,48,48,,1,439,0.3
SJR1,IC,ciliate round,ciliate round 5.5 5.5,5.5,5.5,,6,2,2.0
SJR1,IC,ciliate round,ciliate round 56 56,56,56,,2,1530,0.7
SJR1,IC,ciliate round,ciliate round 9.5 9.5,9.5,9.5,,88,110,29.3
SJR1,IC,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 6 72,6,72,,1,16,0.3
SJR1,IC,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 8 80,8,80,,16,458,5.3
SJR1,IC,cyanobacteria dolichospermum,cyanobacteria dolichospermum 4 80,4,80,,15,120,5.0
SJR1,IC,cyanobacteria dolichospermum,cyanobacteria dolichospermum 8 40,8,40,,1,16,0.3
SJR1,IC,diatom centric,diatom centric 14 14,14,14,,17,20,5.7
SJR1,IC,diatom centric,diatom centric 24.5 24.5,24.5,24.5,,1700,4922,566.7
SJR1,IC,diatom centric,diatom centric 48 48,48,48,,4,392,1.3
SJR1,IC,diatom centric,diatom centric 5.5 5.5,5.5,5.5,,196,14,65.3
SJR1,IC,diatom centric,diatom centric 9.5 9.5,9.5,9.5,,748,200,249.3
SJR1,IC,diatom chain,diatom chain 16 160,16,160,,1,48,0.3
SJR1,IC,diatom chain,diatom chain 24 64,24,64,,1,39,0.3
SJR1,IC,diatom chain,diatom chain 8 200,8,200,,1,15,0.3
SJR1,IC,diatom pennate,diatom pennate 1 20,1,20,1,11,0,3.7
SJR1,IC,diatom pennate,diatom pennate 2 20,2,20,2,23,3,7.7
SJR1,IC,diatom pennate,diatom pennate 20 56,20,56,20,2,47,0.7
SJR1,IC,diatom pennate pleurosigma,diatom pennate pleurosigma 6 88,6,88,6,2,6,0.7
SJR1,IC,flagellate NA,flagellate NA 16 32,16,32,,1,24,0.3
SJR1,IC,flagellate other,flagellate other 3.67 5.5,3.67,5.5,,239,17,79.7
SJR1,IC,flagellate other,flagellate other 6.33 9.5,6.33,9.5,,131,45,43.7
SJR1,IC,flagellate other,flagellate other 9 14,9,14,,10,11,3.3
SJR1,IC,ochrophyte synura,ochrophyte synura 32 32,32,32,,1,90,0.3
SJR1,IC,unidentified flagchloro,unidentified flagchloro 4 20,4,20,,31,43,10.3
SJR1,IC,unidentified NA,unidentified NA 16 40,16,40,,3,76,1.0
SJR1,IC,unidentified NA,unidentified NA 32 56,32,56,,4,559,1.3
SJR1,IC,unidentified NA,unidentified NA 6 32,6,32,,30,94,10.0
SJR1,IC,unidentified rotifer,unidentified rotifer 48 120,48,120,,2,1275,0.7
SJR1,IC,unidentified round,unidentified round 14 14,14,14,,1,9,0.3
SJR1,IC,unidentified round,unidentified round 24.5 24.5,24.5,24.5,,180,1904,60.0
SJR1,IC,unidentified round,unidentified round 5.5 5.5,5.5,5.5,,448,67,149.3
SJR1,IC,unidentified round,unidentified round 64 64,64,64,,1,633,0.3
SJR1,IC,unidentified round,unidentified round 9.5 9.5,9.5,9.5,,80,62,26.7
SJR1,T24,chlorophyte colonial,chlorophyte colonial 32 32,32,32,,1,101,0.3
SJR1,T24,chlorophyte scenedesmus,chlorophyte scenedesmus 4 8,4,8,,3,2,1.0
SJR1,T24,chlorophyte scenedesmus,chlorophyte scenedesmus 6 8,6,8,,11,11,3.7
SJR1,T24,ciliate cone,ciliate cone 24 24,24,24,,77,820,25.7
SJR1,T24,ciliate round,ciliate round 14 14,14,14,,41,183,13.7
SJR1,T24,ciliate round,ciliate round 24 24,24,24,,10,221,3.3
SJR1,T24,ciliate round,ciliate round 5.5 5.5,5.5,5.5,,6,2,2.0
SJR1,T24,ciliate round,ciliate round 9.5 9.5,9.5,9.5,,24,34,8.0
SJR1,T24,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 4 128,4,128,,8,58,2.7
SJR1,T24,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 4 80,4,80,,10,80,3.3
SJR1,T24,cyanobacteria dolichospermum,cyanobacteria dolichospermum 6 40,6,40,,1,10,0.3
SJR1,T24,cyanobacteria dolichospermum,cyanobacteria dolichospermum 8 40,8,40,,11,177,3.7
SJR1,T24,diatom centric,diatom centric 14 14,14,14,,33,39,11.0
SJR1,T24,diatom centric,diatom centric 24.5 24.5,24.5,24.5,,376,1465,125.3
SJR1,T24,diatom centric,diatom centric 40 40,40,40,,1,72,0.3
SJR1,T24,diatom centric,diatom centric 5.5 5.5,5.5,5.5,,223,18,74.3
SJR1,T24,diatom centric,diatom centric 9.5 9.5,9.5,9.5,,244,83,81.3
SJR1,T24,diatom pennate,diatom pennate 2 18,2,18,2,35,4,11.7
SJR1,T24,diatom pennate,diatom pennate 4 10,4,10,4,6,2,2.0
SJR1,T24,diatom pennate,diatom pennate 4 12,4,12,4,25,8,8.3
SJR1,T24,diatom pennate,diatom pennate 4 20,4,20,4,10,6,3.3
SJR1,T24,diatom pennate,diatom pennate 6 56,6,56,6,1,3,0.3
SJR1,T24,diatom pennate,diatom pennate 6 72,6,72,6,1,5,0.3
SJR1,T24,flagellate NA,flagellate NA 16 32,16,32,,1,25,0.3
SJR1,T24,flagellate other,flagellate other 3.67 5.5,3.67,5.5,,401,30,133.7
SJR1,T24,flagellate other,flagellate other 6.33 9.5,6.33,9.5,,146,53,48.7
SJR1,T24,flagellate other,flagellate other 9 14,9,14,,9,11,3.0
SJR1,T24,unidentified flagchloro,unidentified flagchloro 4 12,4,12,,201,90,67.0
SJR1,T24,unidentified NA,unidentified NA 16 32,16,32,,29,580,9.7
SJR1,T24,unidentified NA,unidentified NA 16 80,16,80,,3,183,1.0
SJR1,T24,unidentified NA,unidentified NA 8 24,8,24,,15,73,5.0
SJR1,T24,unidentified NA,unidentified NA 8 48,8,48,,14,131,4.7
SJR1,T24,unidentified round,unidentified round 14 14,14,14,,11,32,3.7
SJR1,T24,unidentified round,unidentified round 24.5 24.5,24.5,24.5,,205,2407,68.3
SJR1,T24,unidentified round,unidentified round 40 40,40,40,,4,698,1.3
SJR1,T24,unidentified round,unidentified round 48 48,48,48,,4,1040,1.3
SJR1,T24,unidentified round,unidentified round 5.5 5.5,5.5,5.5,,365,62,121.7
SJR1,T24,unidentified round,unidentified round 9.5 9.5,9.5,9.5,,44,40,14.7
SJR2,FC,chlorophyte colonial,chlorophyte colonial 10 10,10,10,,13,38,4.3
SJR2,FC,chlorophyte scenedesmus,chlorophyte scenedesmus 12 16,12,16,,1,7,0.3
SJR2,FC,chlorophyte scenedesmus,chlorophyte scenedesmus 16 32,16,32,,1,24,0.3
SJR2,FC,chlorophyte scenedesmus,chlorophyte scenedesmus 4 4,4,4,,2,0,0.7
SJR2,FC,chlorophyte scenedesmus,chlorophyte scenedesmus 4 8,4,8,,10,4,3.3
SJR2,FC,ciliate cone,ciliate cone 24 24,24,24,,151,4433,50.3
SJR2,FC,ciliate cone,ciliate cone 24 40,24,40,,1,53,0.3
SJR2,FC,ciliate round,ciliate round 14 14,14,14,,69,281,23.0
SJR2,FC,ciliate round,ciliate round 24 24,24,24,,309,9002,103.0
SJR2,FC,ciliate round,ciliate round 40 40,40,40,,3,842,1.0
SJR2,FC,ciliate round,ciliate round 5.5 5.5,5.5,5.5,,9,2,3.0
SJR2,FC,ciliate round,ciliate round 9.5 9.5,9.5,9.5,,52,68,17.3
SJR2,FC,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 4 56,4,56,,14,78,4.7
SJR2,FC,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 8 120,8,120,,64,3044,21.3
SJR2,FC,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 8 80,8,80,,30,956,10.0
SJR2,FC,cyanobacteria dolichospermum,cyanobacteria dolichospermum 6 64,6,64,,5,72,1.7
SJR2,FC,cyanobacteria dolichospermum,cyanobacteria dolichospermum 8 80,8,80,,10,319,3.3
SJR2,FC,diatom centric,diatom centric 14 14,14,14,,70,71,23.3
