Organism,Group,type,name,shp,sa,la,wi,SJR2 site,SJR2 FC-1,SJR2 T24-1,SJR2 FC-2,SJR2 T24-2,SJR2 FC-3,SJR2 T24-3,SJR2 IC-1,SJR2 IC-2,SJR2 IC-3,YBP1 site,YBP1 FC-1,YBP1 T24-1,YBP1 FC-2,YBP1 T24-2,YBP1 FC-3,YBP1 T24-3,YBP1 IC-1,YBP1 IC-2,YBP1 IC-3,LSZ2 site,LSZ2 FC-1,LSZ2 T24-1,LSZ2 FC-2,LSZ2 T24-2,LSZ2 FC-3,LSZ2 T24-3,LSZ2 IC-1,LSZ2 IC-2,LSZ2 IC-3,WLD2 site,WLD2 FC-1,WLD2 T24-1,WLD2 FC-2,WLD2 T24-2,WLD2 FC-3,WLD2 T24-3,WLD2 IC-1,WLD2 IC-2,WLD2 IC-3,SJR1 site,SJR1 FC-1,SJR1 T24-1,SJR1 FC-2,SJR1 T24-2,SJR1 FC-3,SJR1 T24-3,SJR1 IC-1,SJR1 IC-2,SJR1 IC-3,YBP2 site,YBP2 FC-1,YBP2 T24-1,YBP2 FC-2,YBP2 T24-2,YBP2 FC-3,YBP2 T24-3,YBP2 IC-1,YBP2 IC-2,YBP2 IC-3
Diatom CD: pennate,diatom,pennate,diacd,prosph,8,24,,,,,1,,,,,,,17,,,,,,,,3,,,,,,,,,,,,,3,,,,4,,,5,,,,,,,,,,,,3,,,,,,,,3,3
Diatom CE: pennate,diatom,pennate,diace,prisell,8,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,6,,,,,,
Diatom CF: pennate,diatom,pennate,diacf,prisell,8,40,8,,,,,,,,1,,,,,,,2,3,,,,,1,,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,5,,,,,,,9
Diatom CG: pennate,diatom,pennate,diacg,cyl,8,48,,,,,,,,,,,,,6,,,,,,2,,,,,,,1,,,,,,,,,9,,14,,,62,,,,,,,,,,,,,,,91,,8,,,6,
Diatom CH: pennate,diatom,pennate,diach,prosph,8,56,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,5,,,,,,2,,,,,,,,14,,,5,6,,7
Diatom CI: pennate,diatom,pennate,diaci,prisell,8,64,8,,,,,,,,,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,12,,,,1,20,,,,3
Diatom CJ: pennate,diatom cylindrotheca,pennate,diacj,prosph,8,72,,,,,,,,,,,,,,,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,8,41,4,22,2,15,16,11
Diatom CK: pennate,diatom,pennate,diack,prisell,8,80,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,18,,,,,,,,,,,,,,5,6,6,,,,
Diatom CL: pennate,diatom,pennate,diacl,prispar,8,120,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,4,5
Diatom CM: pennate,diatom,pennate,diacm,prisell,8,144,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom CN: pennate,diatom,pennate,diacn,prisell,8,168,8,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,6,1
Diatom CO: pennate,diatom,pennate,diaco,cyl,8,184,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,,13,,11,,,,30
Diatom CP: pennate,diatom,pennate,diacp,prisell,8,256,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,
Diatom CQ: pennate,diatom,pennate,diacq,prisell,8,320,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,7,,,,,,
Diatom CS: pennate,diatom,pennate,diacs,prisell,12,48,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Diatom CT: pennate,diatom,pennate,diact,prisell,12,56,12,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
Diatom CU: pennate,diatom,pennate,diacu,prosph,12,80,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom CV: pennate,diatom,pennate,diacv,prisell,12,128,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom CW: pennate,diatom,pennate,diacw,prisell,16,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Diatom CX: pennate,diatom cylindrotheca,pennate,diacx,prosph,16,48,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom CY: pennate,diatom,pennate,diacy,recbox,16,64,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,
Diatom CZ: pennate,diatom,pennate,diacz,prisell,16,104,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Diatom DA: pennate,diatom,pennate,diada,recbox,16,160,16,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Diatom DB: pennate,diatom,pennate,diadb,recbox,16,360,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Diatom DC: pennate,diatom,pennate,diadc,prisell,20,56,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,,,,,,,,,,
Diatom DE: pennate,diatom,pennate,diade,prisell,20,112,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Diatom DF: pennate,diatom,pennate,diadf,prosph,24,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,5,,,
Diatom DG: pennate,diatom,pennate,diadg,prisell,24,72,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
Diatom DH: pennate,diatom,pennate,diadh,recbox,104,200,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Diatom DI: pennate fragilaria,diatom,pennate fragillaria,diadi,prisell,16,48,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom DJ: pennate fragilaria,diatom,pennate fragillaria,diadj,prisell,16,96,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom DK: pennate fragilaria,diatom,pennate fragillaria,diadk,prisell,24,64,24,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom DL: pennate fragilaria,diatom,pennate fragillaria,diadl,prisell,48,64,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom DM: pennate fragilaria,diatom,pennate fragillaria,diadm,prisell,64,80,64,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
Diatom DN: pennate pleurosigma,diatom,pennate pleurosigma,diadn,prispar,4,64,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom DO: pennate pleurosigma,diatom,pennate pleurosigma,diado,prispar,4,160,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom DQ: pennate pleurosigma,diatom,pennate pleurosigma,diadq,prispar,6,56,6,,,,,,,,12,,,,9,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom DR: pennate pleurosigma,diatom,pennate pleurosigma,diadr,prispar,6,88,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Diatom DS: pennate pleurosigma,diatom,pennate pleurosigma,diads,prispar,8,44,8,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
Diatom DT: pennate pleurosigma,diatom,pennate pleurosigma,diadt,prispar,8,64,8,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom DU: pennate pleurosigma,diatom,pennate pleurosigma,diadu,prispar,8,80,8,2,,,3,,,,,3,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom DV: pennate pleurosigma,diatom,pennate pleurosigma,diadv,prispar,8,96,8,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom DW: pennate pleurosigma,diatom,pennate pleurosigma,diadw,prispar,8,120,8,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom DY: pennate pleurosigma,diatom,pennate pleurosigma,diady,prispar,12,96,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom DZ: pennate pleurosigma,diatom,pennate pleurosigma,diadz,prispar,16,64,16,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom EA: pennate pleurosigma,diatom,pennate pleurosigma,diaea,prispar,16,88,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,
Diatom EB: pennate pleurosigma,diatom,pennate pleurosigma,diaeb,prispar,16,144,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,2,,,,,4,,
Diatom EC: pennate pleurosigma,diatom,pennate pleurosigma,diaec,prispar,16,184,16,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Dinoflagellate C: Peridinium,dinoflagellate,peridinium,dinoc,ellips,16,16,16,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14
Dinoflagellate D: Peridinium,dinoflagellate,peridinium,dinod,ellips,20,20,20,,,,,,,,,,,,,,,,,,,,,,10,,5,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinoflagellate E: Peridinium,dinoflagellate,peridinium,dinoe,ellips,20,24,20,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinoflagellate F: Peridinium,dinoflagellate,peridinium,dinof,ellips,24,24,24,,,,,,,,7,5,7,,1,,,,,,,,,9,,1,,,,,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11,
Dinoflagellate G: prorocentrum,dinoflagellate,prorocentrum,dinog,ellips,17.6,17.6,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom: Entemoneis,diatom,other,entem,prisell,16,40,16,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Flagellate I,flagellate,other,flagi,prosph,8,16,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,
Flagellate  J,flagellate,other,flagj,prosph,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
Flagellate K,flagellate,other,flagk,prosph,16,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,4,,4,,
Flagellate L,flagellate,other,flagl,prosph,24,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,12
Flagellate M: Colonial,flagellate,colonial,flagm,prosph,16,16,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flagellate N: Cryptomonas,flagellate,cryptomonas,flagn,prosph,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Flagellate O: Cryptomonas,flagellate,cryptomonas,flago,prosph,8,16,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flagellate P: Cryptomonas,flagellate,cryptomonas,flagp,prosph,8,24,,23,23,,,,23,2,18,27,30,,,,,,,,3,,13,,,,16,,,,39,,,,,,,,,,,20,3,,,,,,,,,,,95,,,,,,,,80,94
Flagellate Q: Cryptomonas,flagellate,cryptomonas,flagq,prosph,12,40,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flagellate R: Cryptomonas,flagellate,cryptomonas,flagr,prosph,16,24,,,,,15,,,,,,,,,,,,,,,10,,,26,,,,7,,,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,
Flagellate S:Cryptomonas,flagellate,cryptomonas,flags,prosph,16,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,7,,
Flagellate T:Euglenid,flagellate,euglenid,flagt,prosph,8,20,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flagellate U: Euglenid,flagellate,euglenid,flagu,prosph,8,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Flagellate V: Euglenid,flagellate,euglenid,flagv,prosph,8,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
Flagellate W: Euglenid,flagellate,euglenid,flagw,prosph,8,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
Flagellate X: Euglenid,flagellate,euglenid,flagx,prosph,12,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,6,
Flagellate Y: Euglenid,flagellate,euglenid,flagy,prosph,16,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,1,,,1,,
Flagellate Z: Euglenid,flagellate,euglenid,flagz,prosph,16,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Flagellate AA: Euglenid,flagellate,euglenid,flagaa,prosph,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,3,,,,
Ochrophyte A: Synura,ochrophyte,synura,ochra,prosph,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,1,,1,,,,,,,,,,,,,,
Ochrophyte B: Synura,ochrophyte,synura,ochrb,prosph,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,24,16,15
Tintinnid A: agglutinated,tintinnid,agglutinated,tina,prosph,16,24,,,,,,,,,,,,,,,26,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tintinnid B: agglutinated,tintinnid,agglutinated,tinb,prosph,16,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tintinnid C: agglutinated,tintinnid,agglutinated,tinc,prosph,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tintinnid D: agglutinated,tintinnid,agglutinated,tind,prosph,20,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
Tintinnid E: agglutinated,tintinnid,agglutinated,tine,prosph,24,32,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,1,,,
Tintinnid F: agglutinated,tintinnid,agglutinated,tinf,prosph,24,40,,,,,,,,,,,,,,,,,,4,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tintinnid G: agglutinated,tintinnid,agglutinated,ting,prosph,24,48,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,
Tintinnid H: agglutinated,tintinnid,agglutinated,tinh,prosph,24,56,,,,,,,,,,,,,22,,,,,,,,,,6,,7,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Tintinnid I: agglutinated,tintinnid,agglutinated,tini,prosph,24,64,,,,,,,,,,,1,,,,,,14,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,8,,,,
Tintinnid J: agglutinated,tintinnid,agglutinated,tinj,prosph,24,72,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tintinnid K: agglutinated,tintinnid,agglutinated,tink,prosph,24,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,2,,,,167,,121
Tintinnid L: agglutinated,tintinnid,agglutinated,tinl,prosph,24,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,
Tintinnid M: agglutinated,tintinnid,agglutinated,tinm,prosph,32,40,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tintinnid N: agglutinated,tintinnid,agglutinated,tinn,prosph,32,48,,,,,,,,,,,,4,,2,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Tintinnid O: agglutinated,tintinnid,agglutinated,tino,prosph,32,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,
Tintinnid P: agglutinated,tintinnid,agglutinated,tinp,prosph,32,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Tintinnid Q: hyaline,tintinnid,hyaline,tinq,prosph,12,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Tintinnid R: hyaline,tintinnid,hyaline,tinr,prosph,16,20,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Tintinnid S: hyaline,tintinnid,hyaline,tins,prosph,16,24,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tintinnid T: hyaline,tintinnid,hyaline,tint,prosph,16,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,8,,,,,,,,
Tintinnid U: hyaline,tintinnid,hyaline,tinu,prosph,32,56,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidentified C1 ≥ 40µm,unidentified,other,unc1,prosph,8,48,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,
Unidentified C2 ≥ 40µm,unidentified,other,unc2,cyl,8,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Unidentified C3 ≥ 40µm,unidentified,other,unc3,prosph,16,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,
Unidentified C5 ≥ 40µm,unidentified,other,unc5,prosph,32,40,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidentified C6 ≥ 40µm,unidentified,other,unc6,prosph,32,80,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidentified C7 ≥ 40µm,unidentified,other,unc7,prosph,40,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,
Unidentified C8 ≥ 40µm,unidentified,other,unc8,prosph,40,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Unidentified D1 < 40µm,unidentified,other,und1,prosph,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,
Unidentified D2 < 40µm,unidentified,other,und2,prosph,8,16,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidentified D3 < 40µm,unidentified,other,und3,prosph,8,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,10,19,,,,,,,,
Unidentified D4 < 40µm,unidentified,other,und4,cyl,8,32,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,1,,,,,,,,,
Unidentified D5 < 40µm,unidentified,other,und5,prosph,12,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,,,,,,,31,17,,,,,,,,,,,,,,,,,,,,
Unidentified D6 < 40µm,unidentified,other,und6,prosph,16,24,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,12,3,,120,,,
Unidentified D7 < 40µm,unidentified,other,und7,prosph,16,32,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,29,,,,,,,,,,,1,,
Unidentified D8 < 40µm,unidentified,other,und8,prosph,16,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,3,,,,,11,,,,,
Unidentified D9 < 40µm,unidentified,other,und9,prosph,16,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidentified D10 < 40µm,unidentified,other,und10,prosph,20,40,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,14,13,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
Unidentified D11 < 40µm,unidentified,other,und11,prosph,24,32,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,10,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidentified D12 < 40µm,unidentified,other,und12,prosph,24,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,26,,,,,40,,,,,,,,,,,,,,,,,,,5
Unidentified D13 < 40µm,unidentified,other,und13,sph,32,32,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidentified D14 < 40µm,unidentified,other,und14,prosph,32,56,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,4,,,4,,,,,,,,,
Unidentified Round D,unidentified,round,unrnd,sph,16,16,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidentified Round E,unidentified,round,unrne,sph,28,28,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,2,8,5,,,,,,,,,,,,,,,,,,2,,,8,,,,,,
Unidentified Round F,unidentified,round,unrnf,sph,40,40,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,16,,,,2,,,,,
Unidentified Round G,unidentified,round,unrng,sph,48,48,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,3,,,,,4,,,,1,,,,,,,,1,
Unidentified Round H,unidentified,round,unrnh,sph,56,56,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidentified Round I,unidentified,round,unrni,sph,64,64,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,
Unidentified Round J,unidentified,round,unrnj,sph,80,80,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidentified Round K 17 to 32 µm (0.2-0.4 mu),unidentified,round,unrnk,sph,24.5,24.5,,18,4,3,3,3,,,10,14,11,18,7,6,12,32,4,2,3,8,9,40,8,3,,5,,,4,,,72,90,117,18,22,41,,15,28,6,35,6,74,11,48,22,83,49,67,64,90,45,41,12,8,49,14,28,20,27
